Coverage Criterion,Model,Reduction&Slicing,Composite Variant,Time (SECONDS)
Every-interaction&Every-interaction,DX,No,Sync,1.3987321

Every-interaction&Every-interaction,DX,Yes,Sync,1.1732350
Every-interaction&Every-interaction,DX,Yes,Sync,1.1839271
Every-interaction&Every-interaction,DX,Yes,Sync,1.2134613
Every-interaction&Every-interaction,DX,Yes,Sync,1.1962348
Every-interaction&Every-interaction,DX,Yes,Sync,1.1973412

Every-interaction&Every-interaction,XU,No,Casc,1.3823755
Every-interaction&Every-interaction,XU,No,Casc,1.3990224
Every-interaction&Every-interaction,XU,No,Casc,1.3730625
Every-interaction&Every-interaction,XU,No,Casc,1.3612451
Every-interaction&Every-interaction,XU,No,Casc,1.3542419

Every-interaction&Every-interaction,XU,Yes,Casc,1.2723523
Every-interaction&Every-interaction,XU,Yes,Casc,1.2596324
Every-interaction&Every-interaction,XU,Yes,Casc,1.2589721
Every-interaction&Every-interaction,XU,Yes,Casc,1.2677741
Every-interaction&Every-interaction,XU,Yes,Casc,1.2423673

Every-interaction&Every-interaction,XU,No,Sync,1.4516928
Every-interaction&Every-interaction,XU,No,Sync,1.3901787
Every-interaction&Every-interaction,XU,No,Sync,1.4062632
Every-interaction&Every-interaction,XU,No,Sync,1.4462470
Every-interaction&Every-interaction,XU,No,Sync,1.4324108

Every-interaction&Every-interaction,XU,Yes,Sync,1.2997652
Every-interaction&Every-interaction,XU,Yes,Sync,1.2834734
Every-interaction&Every-interaction,XU,Yes,Sync,1.2823562
Every-interaction&Every-interaction,XU,Yes,Sync,1.2920463
Every-interaction&Every-interaction,XU,Yes,Sync,1.3053253
